"面积","房型","装修","租金压付","租金","楼层","所属区域","所在小区","朝向","租赁方式","类型","位置","标题"
"51平米","1室1厅1卫","豪华装修","半年付","1700元/月","15/30","雁塔","易道郡玫瑰公馆","朝东","整租","普通住宅","鱼化寨","急租！大会堂软件园丈八北路科技二路科技路旁玫瑰公馆拎包入住！"
"50平米","1室1厅1卫","精装修","半年付押1","1300元/月","5/25","长安","航天翼城","朝南","整租","普通住宅","航天城","航天翼城 经典一室 家具家电齐全 拎包入住 年轻人的优选"
"161平米","3室2厅2卫","精装修","付3押1","6500元/月","17/24","雁塔","天地源兰亭坊","南北","整租","普通住宅","木塔寺公园","高新区天地源兰亭坊 6500元 3室2厅2卫 精装修，楼层佳"
"94平米","2室2厅1卫","精装修","面议","2800元/月","17/30","碑林","嘉怡豪庭","朝南","整租","普通住宅","南稍门","玛雅 体育场嘉怡豪庭 2室急售 拎包住超大阳台 近地铁"
"92平米","2室2厅1卫","精装修","半年付","2700元/月","27/33","未央","荣民宫园中央","南北","整租","普通住宅","大明宫","龙首村地铁口  宫园中央  两室   精装  全配 2700"
"99平米","3室1厅1卫","简单装修","付3押1","1900元/月","3/32","莲湖","省直机关丰园小区","东南","整租","普通住宅","丰庆公园","丰庆公园附近，省直机关，3室，直接入住，只需要1900"
"122平米","3室2厅2卫","精装修","半年付","3200元/月","3/11","雁塔","紫薇臻品","南北","整租","普通住宅","大寨路","高新区地铁口紫薇真品三室精装，拎包入住，有钥匙随时看房！"
"47平米","1室1厅1卫","精装修","半年付押1","1500元/月","15/33","莲湖","太奥国际城","朝西","整租","普通住宅","丰禾路","标准一室一厅 太奥广场 拎包住"
"146平米","3室2厅2卫","精装修","面议","5000元/月","23/33","雁塔","中海东郡","南北","整租","普通住宅","大唐芙蓉园","委托房 中海东郡 三居室拎.包入住 陪读房子 社区方便环境好"
"47平米","1室1卫","精装修","半年付","1300元/月","1/1","莲湖","太奥国际城","朝南","整租","公寓","丰禾路","城西 地铁口 太奥广场 精装一室 拎包入住 生活方便"
"80平米","2室1厅1卫","简单装修","付3押1","1500元/月","5/6","莲湖","金龙小区","东南","整租","普通住宅","龙首村","未央路 龙首原地铁口 精装2室 随时看房 房东急租 先到先得"
"67平米","2室1厅1卫","中等装修","半年付","1450元/月","9/28","新城","彩云郡","朝南","整租","普通住宅","含元路","A281《彩云郡》3号线 温馨小两居拎包入住"
"138平米","3室2厅1卫","简单装修","面议","3300元/月","30/31","碑林","凯旋城","东南","整租","普通住宅","黄雁村","两用 凯旋城 红心美凯龙 繁华商圈 随时看房"
"26平米","3室1厅2卫","精装修","付1押1","820元/月","10/27","雁塔","长丰园小区","朝南","合租","普通住宅","电视塔","可月付》《免物业》《首月房租减800》长丰园 拎包入住"
"90平米","2室2厅1卫","精装修","半年付","2800元/月","32/32","雁塔","高新大都荟","朝南","整租","普通住宅","光华路","科技路 高新四路 高新大都会 两室精装全配 拎包入住 随时看"
"55平米","1室1厅1卫","精装修","面议","1800元/月","22/26","雁塔","龙城铭园","朝北","整租","普通住宅","鱼化寨","标准1室1厅 龙城铭园 精装全配 照片真实 随时可看 手慢无"
"50平米","1室1卫","精装修","半年付","1100元/月","13/14","长安","雀巢公寓","朝西","整租","普通住宅","长安广场","单身公寓1100电梯+空调直接住楼下超市商场步行街华润万家"
"48平米","1室1卫","简单装修","半年付押1","1500元/月","7/9","未央","白桦林居","朝东","整租","普通住宅","行政中心","凤城八路公园旁 白桦林居 温馨公寓一室家具家电齐全 1500"
"45平米","1室1厅1卫","精装修","付3押1","1099元/月","17/34","雁塔","国宾中央区","朝南","整租","普通住宅","鱼化寨","可月付丈八北路科技六路软件园国宾中央区精装一居拎包入住随时看"
"26平米","1室1卫","精装修","付3押1","900元/月","12/26","雁塔","凯悦华庭","朝南","整租","公寓","电子城","凯悦华庭精装修一室一卫拎包住"
"98平米","2室2厅1卫","精装修","半年付","2700元/月","17/27","雁塔","中华世纪城","南北","整租","普通住宅","大寨路","高新区地铁口社区中华世纪城南北通透精装两室配置齐全拎包入住。"
"87平米","2室2厅1卫","精装修","半年付","2700元/月","5/32","雁塔","数字生活","朝南","整租","普通住宅","高新一中","高新数字生活87平两室两厅唐延路摩尔中心万达交通地段非常繁华"
"129平米","3室2厅2卫","精装修","付3押1","3500元/月","5/34","雁塔","中海碧林湾","南北","整租","普通住宅","大唐芙蓉园","业主急租 碧林湾三室精装全配 南北通透 拎包入住"
"197平米","4室2厅2卫","豪华装修","年付","8500元/月","2/33","未央","万科大明宫","南北","整租","普通住宅","大明宫","万科大明宫，197平舒适四室，南北通透，豪装空房出租！"
"89平米","3室2厅1卫","精装修","半年付","2500元/月","10/32","长安","万科城一期","南北","整租","普通住宅","郭杜","长安郭杜 万科城一期 精装小三室 干净整洁 拎包入住"
"86平米","2室2厅1卫","精装修","付3押1","2200元/月","15/34","未央","首创国际城","朝南","整租","普通住宅","北苑","首创拎包入住二居室 采光好 出行方便  玛雅新推"
"133平米","3室2厅2卫","精装修","半年付押1","3500元/月","11/33","雁塔","中海观园A区","南北","整租","普通住宅","曲江大道","3号地铁口华润万家旁，精装修空房大三居，钥匙在手可随时看房"
"128平米","3室2厅2卫","精装修","面议","4500元/月","31/34","雁塔","中海东郡","南北","整租","普通住宅","大唐芙蓉园","精装三居室 居家陪读直选 中海东郡 可随时看房 市政供暖"
"90平米","2室2厅1卫","精装修","年付","2700元/月","25/32","雁塔","曲江城市花园","南北","整租","普通住宅","雁塔南路","曲江城市花园精装修全配 拎包可住，环境优美 适合居住。"
"105平米","3室2厅2卫","精装修","半年付","2500元/月","5/33","未央","华远海蓝城","南北","整租","普通住宅","矿山路","全新房全新配置 婚房装修 干净整洁能拎包入住 临华远君城"
"70平米","2室2厅1卫","精装修","付3押1","2300元/月","32/33","雁塔","万科高新华府","东南","整租","普通住宅","西沣路","高新CBD i都会 中兴华为 万科高新华府2室全配2300"
"136平米","3室2厅2卫","简单装修","半年付","3000元/月","1/30","未央","白桦林间","南北","整租","普通住宅","行政中心","白桦林间三室半配房 可用做办公做培训管理等，地段繁华交通便利"
"47平米","1室1厅1卫","精装修","付3押1","1600元/月","6/16","雁塔","尚品格蓝","朝北","整租","普通住宅","科技路","精装一室一厅 温馨干净户型方正 拎包入住 有钥匙"
"90平米","2室2厅1卫","精装修","面议","2200元/月","18/18","新城","华清学府城","朝南","整租","普通住宅","建工路","华清学府城 2室2厅 90平"
"83平米","2室2厅1卫","精装修","半年付押1","2700元/月","1/18","雁塔","中海凯旋门","南北","整租","普通住宅","曲江城市运动公园","地铁口 中海凯旋门 三房豪华配置 家具家电齐全 拎包入住"
"88平米","2室2厅1卫","精装修","付3押1","2200元/月","11/33","雁塔","缤纷南郡","朝南","整租","普通住宅","锦业路","缤纷南郡我给您租的不是一个合适的房子，而是一个让你留恋的家"
"60平米","2室1厅1卫","简单装修","半年付不押","1200元/月","4/6","未央","万华园住宅小区","南北","整租","普通住宅","张家堡","万华园住宅小区 2室1厅 60平"
"35平米","1室1厅1卫","精装修","面议","1450元/月","18/29","长安","万科棉花公寓","朝南","整租","公寓","郭杜","万科城精装全配 一室 干净整洁 拎包入住 随时看房"
"127平米","3室2厅2卫","豪华装修","面议","6200元/月","25/33","未央","万科大明宫","南北","整租","普通住宅","大明宫","紧邻大明宫遗址公园    散步"
"90平米","2室2厅1卫","精装修","面议","2000元/月","16/33","雁塔","锦都荟","朝西","整租","普通住宅","锦业路","年底福利大放送！锦业路 锦都荟 精装大2室 拎包直接入住 ！"
"60平米","1室1厅1卫","精装修","半年付押1","2000元/月","25/33","雁塔","橡树星座","朝南","整租","普通住宅","高新一中","橡树星座 空房可配家具家电 朝南 舒适度高 随时看房"
"90平米","2室2厅1卫","精装修","付3押1","1700元/月","18/30","雁塔","紫郡长安","朝南","整租","普通住宅","长安西路","繁华社区 朱雀大街 紫郡长安 精装两居带空调 超便宜1700"
"85平米","3室2厅2卫","精装修","付3押1","2500元/月","29/30","雁塔","高新枫林华府","朝南","整租","普通住宅","大寨路","高新区大寨路 玛雅房屋 品质小区 精装三室 家电齐全"
"95平米","2室2厅1卫","精装修","面议","3000元/月","6/12","雁塔","逸翠园(公寓)","南北","整租","普通住宅","中兴产业园","逸翠园精装全配 看房方便 家具齐全 随时拎包入住"
"55平米","1室1卫","精装修","付3押1","2200元/月","15/29","雁塔","群贤道九号","朝北","整租","普通住宅","光华路","群贤道九号  精装全配 温馨居室 市政供暖   看房方便"
"89平米","2室2厅1卫","精装修","半年付","2000元/月","13/15","莲湖","蔚蓝花城七色镇","南北","整租","普通住宅","梨园路","七色镇小区环境优雅 交通方便 急租"
"110平米","3室2厅2卫","精装修","半年付押1","2100元/月","18/26","长安","兰乔国际城","南北","整租","普通住宅","西寨","215沿线  三室两厅精装全配  有暖气"
"41平米","1室1卫","精装修","半年付","1500元/月","14/27","莲湖","汉杰枫尚","朝北","整租","普通住宅","西关正街","玛雅安全交易 地铁口 汉杰枫尚 开间1500元 急租 双气"
"87平米","2室2厅1卫","精装修","半年付押1","2600元/月","28/28","长安","雅居乐铂琅峯","朝南","整租","普通住宅","郭杜","大学城  万科城  雅居乐铂锒峯  两室精装修全配 拎包入住"
"147平米","3室2厅2卫","精装修","付3押1","4200元/月","22/32","雁塔","陕西省行政学院家属院","朝南","整租","普通住宅","小寨","友谊西路 张家村红缨路 高层家属院3室147平空房租4200"
"225平米","4室2厅2卫","简单装修","年付押1","10000元/月","9/30","雁塔","海星城市广场","西南","整租","其他","光华路","繁华地段 交通方便 中间楼层 适合办公和培训"
"42平米","1室1厅1卫","精装修","半年付押1","1800元/月","28/32","雁塔","融尚第10区","朝南","整租","公寓","明德门","朱雀大街青松路口 韦一街地铁口 一室精装 拎包入住 随时看房"
"30平米","3室2厅2卫","精装修","付1押1","800元/月","12/28","未央","尚品雅苑","朝南","合租","普通住宅","大明宫","未央 玄武路 尚品雅苑 精装 全新家具 押一付一 拎包入住"
"20平米","3室1厅2卫","精装修","付1押1","566元/月","2/7","雁塔","科荣花园","南北","合租","普通住宅","翠华路","无中介大雁塔赛格电脑城长安大学东门附近精装单间便宜出租可月付"
"90平米","2室2厅1卫","精装修","半年付","1750元/月","23/25","长安","智慧城","朝北","整租","普通住宅","长安广场","大学城要想拎包入住手选智慧城77平样样齐全拎包住地铁公交商超"
"91平米","2室2厅1卫","精装修","年付","3600元/月","21/29","雁塔","融侨曲江观邸","西南","整租","普通住宅","雁塔南路","精装修没住过人 家具家电全新 拎包入住 快给你安一个家吧"
"175平米","4室2厅2卫","精装修","付3押1","5000元/月","16/33","雁塔","中海御湖","朝南","整租","普通住宅","大唐芙蓉园","急租急租 中海御湖精装4居室空房诚意出租 仅此一套 随时签约"
"24平米","1室1厅1卫","精装修","面议","1500元/月","6/20","未央","红星美凯城","朝东","整租","普通住宅","市图书馆","红星美凯城 1室1厅 24平"
"120平米","3室2厅1卫","精装修","半年付","1800元/月","27/33","莲湖","永新苑西区","南北","整租","普通住宅","龙首村","龙首村地铁口  永新苑西区  三室  全配  双气 1800"
"132平米","3室2厅2卫","中等装修","面议","3200元/月","2/11","未央","明珠花园","南北","整租","普通住宅","凤城五路","明珠花园3室2厅3200元便宜出租了，欢迎附近上班族"
"75平米","2室2厅1卫","精装修","面议","1500元/月","13/34","未央","中建开元城","朝南","整租","普通住宅","三桥","三桥地铁口 中建开元城 精装2室空房 居家办公均可 随时看房"
"167平米","4室2厅2卫","精装修","半年付","3600元/月","8/11","雁塔","紫薇城市花园","南北","整租","普通住宅","电子城","紫薇城市花园，精装四室，南北通透，家具家电齐全，拎包入住"
"126平米","3室2厅2卫","精装修","面议","2600元/月","21/23","雁塔","紫薇田园都市E区","南北","整租","普通住宅","中兴产业园","紫薇居家三室南北通透 直接拎包入住  看房很方便"
"72平米","2室2厅1卫","精装修","半年付押1","1600元/月","16/32","未央","荣德棕榈阳光","南北","整租","普通住宅","浐灞大道","广泰门地铁口 精装两室空房 带空调 新房出租 钥匙在店"
"60平米","1室1厅1卫","精装修","半年付","1400元/月","24/33","未央","宫园美岸","西南","整租","普通住宅","方新村","龙首村地铁口  宫园美岸  标准一室  双气  1500元"
"40平米","1室1卫","精装修","付1押1","1049元/月","16/33","莲湖","御园温泉小区","朝南","整租","普通住宅","梨园路","可月付可短租首月付500红庙坡大白杨《御园温泉小区》精装齐全"
"100平米","3室1厅1卫","精装修","半年付押1","1500元/月","6/7","碑林","友谊小区","南北","整租","普通住宅","李家村","李家村 测绘西路广电小区 精装大三室 全配 看房方便"
"45平米","1室1卫","精装修","面议","1800元/月","15/33","碑林","长安壹栋","朝南","整租","普通住宅","南稍门","体育场 地铁口 个性装修 家的感觉 长安壹栋温馨一居室"
"45平米","1室1厅1卫","豪华装修","付1押1","1900元/月","2/30","雁塔","澳城大厦","朝南","整租","普通住宅","电视塔","电视塔，地铁口，澳城大厦，温馨大一室，独立厨房，采光好"
"28平米","4室1厅2卫","精装修","付1押1","1000元/月","13/32","雁塔","丽湾蓝岛","朝南","合租","公寓","科技路","太白南路地铁口丽湾蓝岛 精装阳台房 拎包入住"
"88平米","2室1厅1卫","精装修","付3押1","1800元/月","5/7","未央","御府花园","朝南","整租","普通住宅","大明宫","未央路御府花园两室一厅全配，拎包入住，家具家电全配地理好"
